(scrambled) Authors,Abstract Link,Authors,Cited-By Count,Cited-By Link,DOI,Date,EID,Funding Agency,Page Range,PubMed ID,Scopus ID,Scopus Link,SearchedAuthor,Source Title,Title,Type
Marcie L. King;Iris I.A. Groen;Chris I. Baker;Dwight J. Kravitz;Adam Steel,https://api.elsevier.com/content/abstract/scopus_id/85065390290,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065390290&origin=inward,10.1016/j.neuroimage.2019.04.079,2019-08-15,2-s2.0-85065390290,,368-382,31054350.0,85065390290,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065390290&origin=inward,Baker,NeuroImage,Similarity judgments and cortical visual responses reflect different properties of object and scene categories in naturalistic images,Article
Chris I. Baker;Adam Steel;Charlotte J. Stagg;Edward H. Silson,https://api.elsevier.com/content/abstract/scopus_id/85059851109,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059851109&origin=inward,10.1016/j.neuroimage.2019.01.009,2019-04-01,2-s2.0-85059851109,,95-105,30630080.0,85059851109,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059851109&origin=inward,Baker,NeuroImage,Differential impact of reward and punishment on functional connectivity after skill learning,Article
Cibu Thomas;Aaron Trefler;Gang Chen;Chris I. Baker;Adam Steel,https://api.elsevier.com/content/abstract/scopus_id/85059115445,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059115445&origin=inward,10.1016/j.neuroimage.2018.12.038,2019-03-01,2-s2.0-85059115445,,524-538,30578926.0,85059115445,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059115445&origin=inward,Baker,NeuroImage,Finding the baby in the bath water – evidence for task-specific changes in resting state functional connectivity evoked by training,Article
Adrian W. Gilmore;Alexis Kidder;Chris I. Baker;Sarah E. Kalinowski;Edward H. Silson;Alex Martin;Adam Steel,https://api.elsevier.com/content/abstract/scopus_id/85060371320,,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060371320&origin=inward,10.1523/JNEUROSCI.1219-18.2018,2019-01-23,2-s2.0-85060371320,,705-717,30504281.0,85060371320,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060371320&origin=inward,Baker,Journal of Neuroscience,A posterior–anterior distinction between scene perception and scene construction in human medial parietal cortex,Article
Annie W.Y. Chan;Paul F. Pasquina;Viktoria Elkis;Chris I. Baker;Jack W. Tsao;Lindsay Hussey-Anderson;Sarah Griffin;Emily Bilger;Sharon Weeks,https://api.elsevier.com/content/abstract/scopus_id/85067362998,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067362998&origin=inward,10.1016/j.nicl.2019.101882,2019-01-01,2-s2.0-85067362998,,,31226622.0,85067362998,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067362998&origin=inward,Baker,NeuroImage: Clinical,Visual responsiveness in sensorimotor cortex is increased following amputation and reduced after mirror therapy,Article
Peter A. Bandettini;Salvatore Torrisi;Monique Ernst;Jeffrey Yen-Ting Liu;Gang Chen;Chris I. Baker;Richard Reynolds;Nicholas Balderston;Daniel Glen;Christian Grillon;Joseph Leshin,https://api.elsevier.com/content/abstract/scopus_id/85052626935,,3,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052626935&origin=inward,10.1016/j.neuroimage.2018.03.071,2018-07-15,2-s2.0-85052626935,,100-110,29621615.0,85052626935,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052626935&origin=inward,Baker,NeuroImage,Statistical power comparisons at 3T and 7T with a GO / NOGO task,Article
Chris I. Baker;Iris I.A. Groen,https://api.elsevier.com/content/abstract/scopus_id/85058693165,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058693165&origin=inward,10.1016/j.neuron.2018.12.014,2019-01-02,2-s2.0-85058693165,,8-10,30605658.0,85058693165,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058693165&origin=inward,Baker,Neuron,Scenes in the Human Brain: Comparing 2D versus 3D Representations,Short Survey
Javier Gonzalez-Castillo;Andrew Hall;Peter A. Bandettini;Sean Marrett;Peter J. Molfese;Elisha P. Merriam;Yuhui Chai;Daniel A. Handwerker,https://api.elsevier.com/content/abstract/scopus_id/85064646526,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064646526&origin=inward,10.1016/j.neuroimage.2019.04.048,2019-08-15,2-s2.0-85064646526,,13-23,31015027.0,85064646526,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064646526&origin=inward,Bandettini,NeuroImage,Visual temporal frequency preference shows a distinct cortical architecture using fMRI,Article
Peter A. Bandettini;Jiajia Yang;Gang Chen;Peter J. Molfese;Laurentius Huber;David C. Jangraw;Yoshimichi Ejima;Jinglong Wu;Yinghua Yu;Daniel A. Handwerker,https://api.elsevier.com/content/abstract/scopus_id/85065887483,,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065887483&origin=inward,10.1126/sciadv.aav9053,2019-05-15,2-s2.0-85065887483,JSPS,,31106273.0,85065887483,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065887483&origin=inward,Bandettini,Science Advances,Layer-specific activation of sensory input and predictive feedback in the human primary somatosensory cortex,Article
Peter A. Bandettini;Hua Xie;Javier Gonzalez-Castillo;Vince D. Calhoun;Sunanda Mitra;Daniel A. Handwerker;Charles Y. Zheng,https://api.elsevier.com/content/abstract/scopus_id/85059153793,,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059153793&origin=inward,10.1016/j.neuroimage.2018.12.037,2019-03-01,2-s2.0-85059153793,,502-514,30576850.0,85059153793,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059153793&origin=inward,Bandettini,NeuroImage,Efficacy of different dynamic functional connectivity methods to capture cognitively relevant information,Article
