Abstract Link,Authors (scrambled),Cited-By Count,Cited-By Link,DOI,Date,EID,Funding Agency,Page Range,PubMed ID,Scopus ID,Scopus Link,Searched PI,Source Title,Title,Type,PI,IC
https://api.elsevier.com/content/abstract/scopus_id/85065390290,Marcie L. King;Iris I.A. Groen;Chris I. Baker;Adam Steel;Dwight J. Kravitz,4,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065390290&origin=inward,10.1016/j.neuroimage.2019.04.079,2019-08-15,"('2-s2.0-85065390290', 'Baker')",NIH,368-382,31054350.0,85065390290,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065390290&origin=inward,Baker,NeuroImage,Similarity judgments and cortical visual responses reflect different properties of object and scene categories in naturalistic images,Article,Baker,NIMH
https://api.elsevier.com/content/abstract/scopus_id/85059851109,Charlotte J. Stagg;Chris I. Baker;Edward H. Silson;Adam Steel,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059851109&origin=inward,10.1016/j.neuroimage.2019.01.009,2019-04-01,"('2-s2.0-85059851109', 'Baker')",WT,95-105,30630080.0,85059851109,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059851109&origin=inward,Baker,NeuroImage,Differential impact of reward and punishment on functional connectivity after skill learning,Article,Baker,NIMH
https://api.elsevier.com/content/abstract/scopus_id/85059115445,Gang Chen;Chris I. Baker;Aaron Trefler;Adam Steel;Cibu Thomas,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059115445&origin=inward,10.1016/j.neuroimage.2018.12.038,2019-03-01,"('2-s2.0-85059115445', 'Baker')",NIBIB,524-538,30578926.0,85059115445,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059115445&origin=inward,Baker,NeuroImage,Finding the baby in the bath water – evidence for task-specific changes in resting state functional connectivity evoked by training,Article,Baker,NIMH
https://api.elsevier.com/content/abstract/scopus_id/85060371320,Alex Martin;Adrian W. Gilmore;Sarah E. Kalinowski;Chris I. Baker;Alexis Kidder;Adam Steel;Edward H. Silson,7,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060371320&origin=inward,10.1523/JNEUROSCI.1219-18.2018,2019-01-23,"('2-s2.0-85060371320', 'Baker')",,705-717,30504281.0,85060371320,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060371320&origin=inward,Baker,Journal of Neuroscience,A posterior–anterior distinction between scene perception and scene construction in human medial parietal cortex,Article,Baker,NIMH
https://api.elsevier.com/content/abstract/scopus_id/85067362998,Paul F. Pasquina;Sharon Weeks;Jack W. Tsao;Annie W.Y. Chan;Lindsay Hussey-Anderson;Emily Bilger;Chris I. Baker;Sarah Griffin;Viktoria Elkis,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067362998&origin=inward,10.1016/j.nicl.2019.101882,2019-01-01,"('2-s2.0-85067362998', 'Baker')",CIB,,31226622.0,85067362998,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067362998&origin=inward,Baker,NeuroImage: Clinical,Visual responsiveness in sensorimotor cortex is increased following amputation and reduced after mirror therapy,Article,Baker,NIMH
https://api.elsevier.com/content/abstract/scopus_id/85052626935,Richard Reynolds;Christian Grillon;Jeffrey Yen-Ting Liu;Daniel Glen;Gang Chen;Salvatore Torrisi;Joseph Leshin;Monique Ernst;Chris I. Baker;Peter A. Bandettini;Nicholas Balderston,4,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052626935&origin=inward,10.1016/j.neuroimage.2018.03.071,2018-07-15,"('2-s2.0-85052626935', 'Baker')",NIMH,100-110,29621615.0,85052626935,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052626935&origin=inward,Baker,NeuroImage,Statistical power comparisons at 3T and 7T with a GO / NOGO task,Article,Baker,NIMH
https://api.elsevier.com/content/abstract/scopus_id/85058693165,Iris I.A. Groen;Chris I. Baker,0,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058693165&origin=inward,10.1016/j.neuron.2018.12.014,2019-01-02,"('2-s2.0-85058693165', 'Baker')",,8-10,30605658.0,85058693165,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058693165&origin=inward,Baker,Neuron,Scenes in the Human Brain: Comparing 2D versus 3D Representations,Short Survey,Baker,NIMH
https://api.elsevier.com/content/abstract/scopus_id/85064646526,Elisha P. Merriam;Peter J. Molfese;Yuhui Chai;Javier Gonzalez-Castillo;Daniel A. Handwerker;Peter A. Bandettini;Sean Marrett;Andrew Hall,1,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064646526&origin=inward,10.1016/j.neuroimage.2019.04.048,2019-08-15,"('2-s2.0-85064646526', 'Bandettini')",NIMH,13-23,31015027.0,85064646526,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064646526&origin=inward,Bandettini,NeuroImage,Visual temporal frequency preference shows a distinct cortical architecture using fMRI,Article,Bandettini,NIMH
https://api.elsevier.com/content/abstract/scopus_id/85065887483,Peter J. Molfese;David C. Jangraw;Jinglong Wu;Jiajia Yang;Gang Chen;Daniel A. Handwerker;Peter A. Bandettini;Laurentius Huber;Yinghua Yu;Yoshimichi Ejima,3,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065887483&origin=inward,10.1126/sciadv.aav9053,2019-05-15,"('2-s2.0-85065887483', 'Bandettini')",JSPS,,31106273.0,85065887483,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065887483&origin=inward,Bandettini,Science Advances,Layer-specific activation of sensory input and predictive feedback in the human primary somatosensory cortex,Article,Bandettini,NIMH
https://api.elsevier.com/content/abstract/scopus_id/85059153793,Charles Y. Zheng;Sunanda Mitra;Javier Gonzalez-Castillo;Daniel A. Handwerker;Peter A. Bandettini;Hua Xie;Vince D. Calhoun,7,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059153793&origin=inward,10.1016/j.neuroimage.2018.12.037,2019-03-01,"('2-s2.0-85059153793', 'Bandettini')",NIMH,502-514,30576850.0,85059153793,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059153793&origin=inward,Bandettini,NeuroImage,Efficacy of different dynamic functional connectivity methods to capture cognitively relevant information,Article,Bandettini,NIMH
