Title,PI,Authors,Date,Cited-By Count,Source Title,Page Range,DOI,PubMed ID,Scopus ID,EID,Type,Funding Agency,Abstract Link,Scopus Link,Cited-By Link
Similarity judgments and cortical visual responses reflect different properties of object and scene categories in naturalistic images,Baker,Marcie L. King;Iris I.A. Groen;Chris I. Baker;Adam Steel;Dwight J. Kravitz,2019-08-15,4,NeuroImage,368-382,10.1016/j.neuroimage.2019.04.079,31054350,85065390290,"('2-s2.0-85065390290', 'Baker')",Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85065390290,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065390290&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065390290&origin=inward
Differential impact of reward and punishment on functional connectivity after skill learning,Baker,Charlotte J. Stagg;Chris I. Baker;Edward H. Silson;Adam Steel,2019-04-01,1,NeuroImage,95-105,10.1016/j.neuroimage.2019.01.009,30630080,85059851109,"('2-s2.0-85059851109', 'Baker')",Article,WT,https://api.elsevier.com/content/abstract/scopus_id/85059851109,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059851109&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059851109&origin=inward
Finding the baby in the bath water – evidence for task-specific changes in resting state functional connectivity evoked by training,Baker,Gang Chen;Chris I. Baker;Aaron Trefler;Adam Steel;Cibu Thomas,2019-03-01,0,NeuroImage,524-538,10.1016/j.neuroimage.2018.12.038,30578926,85059115445,"('2-s2.0-85059115445', 'Baker')",Article,NIBIB,https://api.elsevier.com/content/abstract/scopus_id/85059115445,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059115445&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059115445&origin=inward
A posterior–anterior distinction between scene perception and scene construction in human medial parietal cortex,Baker,Alex Martin;Adrian W. Gilmore;Sarah E. Kalinowski;Chris I. Baker;Alexis Kidder;Adam Steel;Edward H. Silson,2019-01-23,7,Journal of Neuroscience,705-717,10.1523/JNEUROSCI.1219-18.2018,30504281,85060371320,"('2-s2.0-85060371320', 'Baker')",Article,,https://api.elsevier.com/content/abstract/scopus_id/85060371320,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060371320&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060371320&origin=inward
Visual responsiveness in sensorimotor cortex is increased following amputation and reduced after mirror therapy,Baker,Paul F. Pasquina;Sharon Weeks;Jack W. Tsao;Annie W.Y. Chan;Lindsay Hussey-Anderson;Emily Bilger;Chris I. Baker;Sarah Griffin;Viktoria Elkis,2019-01-01,1,NeuroImage: Clinical,,10.1016/j.nicl.2019.101882,31226622,85067362998,"('2-s2.0-85067362998', 'Baker')",Article,CIB,https://api.elsevier.com/content/abstract/scopus_id/85067362998,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067362998&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067362998&origin=inward
Statistical power comparisons at 3T and 7T with a GO / NOGO task,Baker,Richard Reynolds;Christian Grillon;Jeffrey Yen-Ting Liu;Daniel Glen;Gang Chen;Salvatore Torrisi;Joseph Leshin;Monique Ernst;Chris I. Baker;Peter A. Bandettini;Nicholas Balderston,2018-07-15,4,NeuroImage,100-110,10.1016/j.neuroimage.2018.03.071,29621615,85052626935,"('2-s2.0-85052626935', 'Baker')",Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85052626935,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052626935&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052626935&origin=inward
Scenes in the Human Brain: Comparing 2D versus 3D Representations,Baker,Iris I.A. Groen;Chris I. Baker,2019-01-02,0,Neuron,8-10,10.1016/j.neuron.2018.12.014,30605658,85058693165,"('2-s2.0-85058693165', 'Baker')",Short Survey,,https://api.elsevier.com/content/abstract/scopus_id/85058693165,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058693165&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058693165&origin=inward
Visual temporal frequency preference shows a distinct cortical architecture using fMRI,Bandettini,Elisha P. Merriam;Peter J. Molfese;Yuhui Chai;Javier Gonzalez-Castillo;Daniel A. Handwerker;Peter A. Bandettini;Sean Marrett;Andrew Hall,2019-08-15,1,NeuroImage,13-23,10.1016/j.neuroimage.2019.04.048,31015027,85064646526,"('2-s2.0-85064646526', 'Bandettini')",Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85064646526,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064646526&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064646526&origin=inward
Layer-specific activation of sensory input and predictive feedback in the human primary somatosensory cortex,Bandettini,Peter J. Molfese;David C. Jangraw;Jinglong Wu;Jiajia Yang;Gang Chen;Daniel A. Handwerker;Peter A. Bandettini;Laurentius Huber;Yinghua Yu;Yoshimichi Ejima,2019-05-15,3,Science Advances,,10.1126/sciadv.aav9053,31106273,85065887483,"('2-s2.0-85065887483', 'Bandettini')",Article,JSPS,https://api.elsevier.com/content/abstract/scopus_id/85065887483,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065887483&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065887483&origin=inward
Efficacy of different dynamic functional connectivity methods to capture cognitively relevant information,Bandettini,Charles Y. Zheng;Sunanda Mitra;Javier Gonzalez-Castillo;Daniel A. Handwerker;Peter A. Bandettini;Hua Xie;Vince D. Calhoun,2019-03-01,7,NeuroImage,502-514,10.1016/j.neuroimage.2018.12.037,30576850,85059153793,"('2-s2.0-85059153793', 'Bandettini')",Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85059153793,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85059153793&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059153793&origin=inward
Deep neural network predicts emotional responses of the human brain from functional magnetic resonance imaging,Bandettini,Jong Hwan Lee;Peter A. Bandettini;Hyun Chul Kim,2019-02-01,6,NeuroImage,607-627,10.1016/j.neuroimage.2018.10.054,30366076,85057456558,"('2-s2.0-85057456558', 'Bandettini')",Article,,https://api.elsevier.com/content/abstract/scopus_id/85057456558,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057456558&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057456558&origin=inward
Apparent diffusion coefficient changes in human brain during sleep – Does it inform on the existence of a glymphatic system?,Bandettini,Hedok Lee;Elsa Lindgren;Silvina Horovitz;Tansha Srivastava;Şükrü Barış Demiral;Veronica Ramirez;Ehsan Shokri-Kojori;Peter Bandettini;Joelle Sarlls;Clara R. Freeman;Gregg Miller;Gene Jack Wang;Amna Zehra;Dardo Tomasi;Nora D. Volkow;Helene Benveniste;Corinde E. Wiers;Kenneth Ke,2019-01-15,8,NeuroImage,263-273,10.1016/j.neuroimage.2018.10.043,30342236,85055328485,"('2-s2.0-85055328485', 'Bandettini')",Article,NIAAA,https://api.elsevier.com/content/abstract/scopus_id/85055328485,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85055328485&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055328485&origin=inward
Quantitative deconvolution of fmri data with multi-echo sparse paradigm free mapping,Bandettini,Javier Gonzalez-Castillo;Stefano Moia;Peter A. Bandettini;César Caballero-Gaudes,2018-01-01,1,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),311-319,10.1007/978-3-030-00931-1_36,,85053871149,"('2-s2.0-85053871149', 'Bandettini')",Conference Paper,,https://api.elsevier.com/content/abstract/scopus_id/85053871149,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053871149&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053871149&origin=inward
Distributed weight consolidation: A brain segmentation case study,Bandettini,Charles Y. Zheng;Patrick McClure;Peter Bandettini;Jakub R. Kaczmarzyk;Francisco Pereira;Dylan Nielson;Satrajit S. Ghosh;John A. Lee,2018-01-01,1,Advances in Neural Information Processing Systems,4093-4103,,,85064820043,"('2-s2.0-85064820043', 'Bandettini')",Conference Paper,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85064820043,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064820043&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064820043&origin=inward
