Title,Searched PI,Authors (scrambled),Date,Cited-By Count,Source Title,Page Range,DOI,PubMed ID,Scopus ID,EID,Type,Funding Agency,Abstract Link,Scopus Link,Cited-By Link
Multiple Brain Networks Mediating Stimulus-Pain Relationships in Humans,Atlas,Martin A. Lindquist;Lauren Y. Atlas;Stephan Geuter;Leonie Koban;Liane Schmidt;Tor D. Wager;Anjali Krishnan;Mathieu Roy;Elizabeth A. Reynolds Losin,2020-06-01,0,"Cerebral cortex (New York, N.Y. : 1991)",4204-4219,10.1093/cercor/bhaa048,32219311.0,85085904590,2-s2.0-85085904590,Article,,https://api.elsevier.com/content/abstract/scopus_id/85085904590,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085904590&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085904590&origin=inward
Pain-Evoked Reorganization in Functional Brain Networks,Atlas,Bin Hu;Marieke Jepma;Pavel Goldstein;Lauren Y. Atlas;Weihao Zheng;Zhijun Yao;Liane Schmidt;Choong Wan Woo;Tor D. Wager;Anjali Krishnan;Mathieu Roy,2020-05-14,0,Cerebral Cortex,2804-2822,10.1093/cercor/bhz276,31813959.0,85084961318,2-s2.0-85084961318,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85084961318,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084961318&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084961318&origin=inward
Flawed methodology undermines conclusions about opioid-induced pleasure: implications for psychopharmacology,Atlas,Lauren Y. Atlas;Siri Leknes,2020-03-01,1,British Journal of Anaesthesia,e29-e33,10.1016/j.bja.2019.10.006,31753290.0,85079089444,2-s2.0-85079089444,Letter,ERC,https://api.elsevier.com/content/abstract/scopus_id/85079089444,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079089444&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079089444&origin=inward
The Confidence Database,Atlas,Marcin Koculak;Jiwon Yeon;Marios G. Philiastides;Julian Matthews;Troy C. Dildine;Justin Kantner;Liang Luo;Futing Zou;Xinming Xu;Gerit Pfuhl;Marine Hainguerlot;Vincent de Gardelle;Kobe Desender;Michael Pereira;Manuel Rausch;Başak Akdoğan;William T. Adler;Shuo Wang;Zuzanna Skóra;Peter D. Kvam;Marta Siedlecka;Audrey Mazancieux;Karen Davranche;Jérôme Sackur;Xiao Hu;Indrit Bègue;Matt Jaquiery;Denis O’Hora;Qun Ye;Gabriel Reyes;Medha Shekhar;Kit S. Double;Alan L.F. Lee;Ariel Zylberberg;Chien Ming Lo;Nadia Haddara;Lauren Y. Atlas;Fernanda Prieto;Antonio Martin;Torin K. Clark;Rachel N. Denison;Tricia X.F. Seow;Brian Maniscalco;Ji Won Bang;Andrey Chetverikov;David Soto;Iñaki Iturrate;Gabriel Weindel;Mahiko Konishi;Christina Koß;Thibault Gajdos;Maxine T. Sherman;Maël Lebreton;Sai Sun;Karolina M. Lempert;Elisa Filevich;Daniel M. Merfeld;Christoph T. Weidemann;Marion Rouault;Fuat Balcı;Kaitlyn Fallow;Damian P. Birney;Polina Arbuzova;Nathan Faivre;Dobromir Rahnev;Tzu Yu Hsu;Eleanor R. Palser;Joshua Calder-Travis;Borysław Paulewicz;Sabina Gherman;Sébastien Massoni;Jeroen J.A. van Boxtel;Samuel Recht;Saeedeh Sadeghi;Michał Wierzchoń;Chen Song;Timothy F. Brady;Sze Chai Kwok;Regan M. Gallagher;Caroline Peters;David Aguilar-Lleyda;Yalçın A. Duyan;Jason Samaha,2020-03-01,1,Nature Human Behaviour,317-325,10.1038/s41562-019-0813-1,32015487.0,85079153540,2-s2.0-85079153540,Article,NIMH,https://api.elsevier.com/content/abstract/scopus_id/85079153540,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079153540&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079153540&origin=inward
"Distinguishing pain from nociception, salience, and arousal: How autonomic nervous system activity can improve neuroimaging tests of specificity",Atlas,Lauren Y. Atlas;In Seon Lee;Elizabeth A. Necka,2020-01-01,1,NeuroImage,,10.1016/j.neuroimage.2019.116254,31604122.0,85073474430,2-s2.0-85073474430,Article,NCCIH,https://api.elsevier.com/content/abstract/scopus_id/85073474430,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073474430&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073474430&origin=inward
The need for diversity in research on facial expressions of pain,Atlas,Lauren Y. Atlas;Troy C. Dildine,2019-08-01,1,Pain,1901-1902,10.1097/j.pain.0000000000001593,31335658.0,85070462787,2-s2.0-85070462787,Letter,,https://api.elsevier.com/content/abstract/scopus_id/85070462787,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070462787&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070462787&origin=inward
Reply to Zaman et al.,Atlas,Lauren Y. Atlas;Dominik Mischkowski,2019-06-01,0,Pain,1485-1486,10.1097/j.pain.0000000000001572,31107419.0,85066951542,2-s2.0-85066951542,Letter,NIH,https://api.elsevier.com/content/abstract/scopus_id/85066951542,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066951542&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066951542&origin=inward
Pain or nociception? Subjective experience mediates the effects of acute noxious heat on autonomic responses - Corrected and republished,Atlas,Dominik Mischkowski;Troy C. Dildine;Lauren Y. Atlas;Esther E. Palacios-Barrios;Lauren Banker,2019-06-01,3,Pain,1469-1481,10.1097/j.pain.0000000000001573,31107415.0,85066955792,2-s2.0-85066955792,Article,NIH,https://api.elsevier.com/content/abstract/scopus_id/85066955792,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066955792&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066955792&origin=inward
"How instructions shape aversive learning: higher order knowledge, reversal learning, and the role of the amygdala",Atlas,Lauren Y. Atlas,2019-04-01,5,Current Opinion in Behavioral Sciences,121-129,10.1016/j.cobeha.2018.12.008,,85060104256,2-s2.0-85060104256,Review,NCCIH,https://api.elsevier.com/content/abstract/scopus_id/85060104256,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060104256&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060104256&origin=inward
Is placebo analgesia for heat pain a sensory effect? An exploratory study on minimizing the influence of response bias,Atlas,Claire M. Laubacher;Lauren Y. Atlas;Emily A. Richards;Matthew Grossman;Laura K. Case;M. Catherine Bushnell;Scott Parker,2019-01-01,0,Neurobiology of Pain,,10.1016/j.ynpai.2018.09.001,,85064096377,2-s2.0-85064096377,Article,NCCIH,https://api.elsevier.com/content/abstract/scopus_id/85064096377,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85064096377&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064096377&origin=inward
