FMRIF?,Searched PI,Type,Source Title,Title,Authors (scrambled),Date,DOI,PubMed ID,Scopus ID,EID,Cited-By Count,Abstract Link,Scopus Link,Cited-By Link,Funding Agency,Page Range
N,Atlas,Article,"Cerebral cortex (New York, N.Y. : 1991)",Multiple Brain Networks Mediating Stimulus-Pain Relationships in Humans,Leonie Koban;Anjali Krishnan;Martin A. Lindquist;Lauren Y. Atlas;Liane Schmidt;Mathieu Roy;Elizabeth A. Reynolds Losin;Tor D. Wager;Stephan Geuter,2020-06-01,10.1093/cercor/bhaa048,32219311,85085904590,2-s2.0-85085904590,0,https://api.elsevier.com/content/abstract/scopus_id/85085904590,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085904590&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085904590&origin=inward,,4204-4219
N,Atlas,Article,Cerebral Cortex,Pain-Evoked Reorganization in Functional Brain Networks,Marieke Jepma;Weihao Zheng;Lauren Y. Atlas;Liane Schmidt;Mathieu Roy;Tor D. Wager;Pavel Goldstein;Bin Hu;Anjali Krishnan;Zhijun Yao;Choong Wan Woo,2020-05-14,10.1093/cercor/bhz276,31813959,85084961318,2-s2.0-85084961318,0,https://api.elsevier.com/content/abstract/scopus_id/85084961318,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084961318&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85084961318&origin=inward,NIH,2804-2822
N,Atlas,Letter,British Journal of Anaesthesia,Flawed methodology undermines conclusions about opioid-induced pleasure: implications for psychopharmacology,Siri Leknes;Lauren Y. Atlas,2020-03-01,10.1016/j.bja.2019.10.006,31753290,85079089444,2-s2.0-85079089444,1,https://api.elsevier.com/content/abstract/scopus_id/85079089444,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079089444&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079089444&origin=inward,ERC,e29-e33
N,Atlas,Article,Nature Human Behaviour,The Confidence Database,Yalçın A. Duyan;Sébastien Massoni;Ji Won Bang;Justin Kantner;Julian Matthews;Samuel Recht;Chien Ming Lo;Brian Maniscalco;Christoph T. Weidemann;Audrey Mazancieux;Xiao Hu;Sze Chai Kwok;Michael Pereira;Zuzanna Skóra;Futing Zou;Başak Akdoğan;Troy C. Dildine;Marine Hainguerlot;Manuel Rausch;Jérôme Sackur;Gerit Pfuhl;Nathan Faivre;Rachel N. Denison;Jason Samaha;Andrey Chetverikov;Kobe Desender;David Soto;Thibault Gajdos;Chen Song;Kaitlyn Fallow;Antonio Martin;Marcin Koculak;Damian P. Birney;Indrit Bègue;Joshua Calder-Travis;Lauren Y. Atlas;Michał Wierzchoń;Qun Ye;Elisa Filevich;Peter D. Kvam;Tzu Yu Hsu;Fernanda Prieto;Caroline Peters;Nadia Haddara;Sai Sun;Gabriel Reyes;Maël Lebreton;Tricia X.F. Seow;Marta Siedlecka;Kit S. Double;Maxine T. Sherman;Xinming Xu;Daniel M. Merfeld;Borysław Paulewicz;Denis O’Hora;Jeroen J.A. van Boxtel;Vincent de Gardelle;Torin K. Clark;Regan M. Gallagher;Medha Shekhar;Mahiko Konishi;William T. Adler;Polina Arbuzova;Karen Davranche;Timothy F. Brady;Eleanor R. Palser;Alan L.F. Lee;Jiwon Yeon;Fuat Balcı;Liang Luo;David Aguilar-Lleyda;Christina Koß;Karolina M. Lempert;Ariel Zylberberg;Gabriel Weindel;Sabina Gherman;Iñaki Iturrate;Marios G. Philiastides;Shuo Wang;Marion Rouault;Matt Jaquiery;Saeedeh Sadeghi;Dobromir Rahnev,2020-03-01,10.1038/s41562-019-0813-1,32015487,85079153540,2-s2.0-85079153540,0,https://api.elsevier.com/content/abstract/scopus_id/85079153540,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079153540&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079153540&origin=inward,NIMH,317-325
N,Atlas,Article,Schizophrenia Bulletin,Towards precision medicine in psychosis: Benefits and challenges of multimodal multicenter studies - PSYSCAN: Translating neuroimaging findings from research into clinical practice,Inge Winter-Van Rossum;Stefania Tognin;Hendrika H. Van Hell;James McLoughlin;Jun Soo Kwon;Stephen M. Lawrie;MacHteld Marcelis;Sara Patriarca;Roberto Rodríguez-Jiménez;Kate Merritt;Cristina Scarpazza;Claudia Vingerhoets;Lotte Hendriks;DIeuwke Siegmann;Mathilde Antoniades;Kyeon Raab;Esther Setien-Suero;Matthijs G. Bossong;Rosa Ayesa-Arriola;Inge Winter;Wiepke Cahn;Michael Kiang;Sarah Ahmed;Giuseppe Piegari;Emily Hird;Sandra Vieira;Celso Arango;Danny Deckers;Karen Tangmose;Jens Sommer;Paola Dazzan;Minah Kim;Phillip McGuire;Yoo Bin Kwak;Gabriele Sachs;Barnaby Nelson;Therese Van Amelsvoort;René Kahn;Colm McDonald;Daria Pietrafesa;Alessia Nicita;Victor Ortiz Garcia-De La Foz;Irina Falkenberg;Kang Ik Kevin Cho;Philipp Berger;Florian Bitsch;Matthew J. Kempton;Mikkel Erlang Sørensen;Brian Broberg;Ivana Prce;Gemma Modinos;Lieuwe De Haan;Jana Barkhof;Babette Jakobi;Tom J. Spencer;Ary Gadelha;Romina Mizrahi;Meredith McHugh;Tae Young Lee;Miriam Ayora;Paul Amminger;Jenny Lepock;Dara Cannon;Erika Van Hell;Mark Weiser;Arija Maat;Birte Glenthøj;Silvana Galderisi;Armida Mucci;Benedicto Crespo-Facorro;Martha Finnegan;Marialuz Ramirez-Bonilla;Andrea De Micheli;Patrick McGorry;Andrea Mechelli;André Zugman;Tilo Kircher;DIana Tordesillas-Gutierrez;Jun S. Kwon;Anke Maatz;Margaret Maheandiran;Rodrigo Bressan;Egill Rostrup;Joost Janssen;Wu Jeong Hwang;Paolo Fusar-Poli;Iris De Wit;Hugo Schnack;Philip McGuire;Natalia Petros;Paula Suarez-Pinilla;Marina Díaz-Marsá;George Gifford;Helle Schæbel;Covadonga M. Díaz-Caneja;Cory Gerritsen;Graccielle Rodrigues Da Cunha;Oliver Gruber;Paola Bucci;Brian Hallahan,2020-03-01,10.1093/schbul/sbz067,31424555,85081165552,2-s2.0-85081165552,8,https://api.elsevier.com/content/abstract/scopus_id/85081165552,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081165552&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85081165552&origin=inward,,432-441
N,Atlas,Article,Biological Psychiatry,Classical Human Leukocyte Antigen Alleles and C4 Haplotypes Are Not Significantly Associated With Depression,Julien Bryois;Ole Mors;Yuri Milaneschi;Maciej Trzaskowski;Shing Wan Choi;Ken B. Hanscombe;Jack Euesden;Gregory E. Crawford;Stefan Herms;Stanley I. Shyn;James B. Potash;Jakob Grove;Tim B. Bigdeli;Carsten Horn;Nancy L. Pedersen;Sara Mostafavi;Nick Craddock;Fabian Streit;Marcus Ising;Rudolf Uher;Sandra Van der Auwera;Mark J. Adams;Jonas Bybjerg-Grauholm;Scott D. Gordon;Farnush Farhadi Hassan Kiadeh;Georg Homuth;Marie Bækvad-Hansen;Ian Jones;Tracy M. Air;David M. Howard;Enda M. Byrne;Stephan Ripke;Esben Agerbo;Rick Jansen;Douglas F. Levinson;Thalia C. Eley;Eske M. Derks;Jane Hvarregaard Christensen;Abdel Abdellaoui;Per Hoffmann;Kylie P. Glanville;Gerome Breen;Fernando S. Goes;Christine Søholm Hansen;Ian B. Hickie;Eco J.C. de Geus;Martin Preisig;Jianxin Shi;Zoltán Kutalik;Erin C. Dunn;Conor V. Dolan;David M. Hougaard;Lynsey S. Hall;Franziska Degenhardt;Toni Kim Clarke;Glyn Lewis;Baptiste Couvy-Duchesne;Steven P. Hamilton;Michael Gill;Douglas H.R. Blackwood;Elisabeth B. Binder;Valentina Escott-Price;Hans J. Grabe;Myrna M. Weissman;Naomi R. Wray;Ian J. Deary;Jonathan R.I. Coleman;Henning Tiemeier;Udo Dannlowski;Thomas F. Hansen;Brenda W.J.H. Penninx;Nese Direk;Jordan W. Smoller;Susanne Lucae;Penelope A. Lind;Na Cai;Jerome C. Foo;James A. Knowles;Andrew M. McIntosh;Lucía Colodro-Conde;Bernhard T. Baune;Lisa A. Jones;Manuel Mattheisen;Patrick F. Sullivan;Henriette N. Buttenschøn;Silviu Alin Bacanu;Dorret I. Boomsma;Enrique Castelao;Bertram Müller-Myhsok;Josef Frank;Hilary K. Finucane;Patrik K. Magnusson;Aartjan T.F. Beekman;Jouke Jan Hottenga;Gail Davies;Kirstin L. Purves;Héléna A. Gaspar;Till F.M. Andlauer;Andreas J. Forstner;Peter McGuffin,2020-03-01,10.1016/j.biopsych.2019.06.031,31570195,85072749953,2-s2.0-85072749953,1,https://api.elsevier.com/content/abstract/scopus_id/85072749953,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072749953&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072749953&origin=inward,NIHR,419-430
N,Atlas,Conference Paper,Neuron,Accelerating the Evolution of Nonhuman Primate Neuroimaging,Anna Wang Roe;Daniel S. Margulies;Colline Poirier;Michael Ortiz-Rios;Aki Nikolaidis;Ting Xu;Bella Williams;Lei Ai;Antoine Grigis;Ming Zhan;Adrien Meguerditchian;Ashkan Alvand;Piotr Majka;Julien Vezoli;Fabien Balezeau;Luciano Simone;Céline Amiez;Wasana Madushanka;Julien Sein;Marike Schiffer;Ann Marie Mallon;Karl Heinz Nenning;Sze Chai Kwok;Roberto Toro;Wim Vanduffel;Yannick Becker;Susann Boretius;Henry Evrard;Patrick Friedrich;Robert Leech;Charles E. Schroeder;Alessandro Gozzi;Clementine Bodin;Amir Shmuel;Olivier Coulon;Reza Rajimehr;Clare Kelly;Hank P. Jedema;Vikas Pareek;Zhi ming Shen;Jerome Sallet;Lynn Uhrig;Sabine Kastner;Nikoloz Sirmpilatze;Ravi S. Menon;Mark Prescott;Takuya Hayashi;Emmanuel Procyk;Igor Kagan;Andrew Fox;Chika Sato;Wendy Jarrett;Yang Gao;Sara Wells;Jordy Tasserie;Rogier B. Mars;Essa Yacoub;Augix Guohua Xu;Christopher Madan;Tomoko Sakai;Sean Froudist-Walsh;Xiaojin Liu;Henry Kennedy;David C. Van Essen;P. Christiaan Klink;Jakob Seidlitz;Zheng Wang;Christopher I. Petkov;Suliann Ben Hamed;Lea Roumazeilles;Adam Messinger;Michele A. Basso;Stephanie J. Forkel;Sherif Hamdy El-Gohary;Anna Mitchell;Pascal Belin;Stephen Sawiak;Caspar M. Schwiedrzik;Béchir Jarraya;Dirk Jan Ardesch;Eduardo A. Garza-Villarreal;Román Rossi-Pool;Afonso C. Silva;Michel Thiebaut de Schotten;Ioana Sabina Rautu;Damien A. Fair;Hugo Merchant;Kevin Marche;Renee Hartig;Marco Pagani;Pamela García-Saldivar;Michael Milham;Austin Benn;Katja Heuer;Regis Trapeau;Bastien Cagna;Henrietta Howells;Julia Sliwa;Amir Raz;Jonathan Smallwood,2020-02-19,10.1016/j.neuron.2019.12.023,32078795,85079356882,2-s2.0-85079356882,2,https://api.elsevier.com/content/abstract/scopus_id/85079356882,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079356882&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079356882&origin=inward,WT,600-603
N,Atlas,Article,NeuroImage,"Distinguishing pain from nociception, salience, and arousal: How autonomic nervous system activity can improve neuroimaging tests of specificity",Elizabeth A. Necka;In Seon Lee;Lauren Y. Atlas,2020-01-01,10.1016/j.neuroimage.2019.116254,31604122,85073474430,2-s2.0-85073474430,1,https://api.elsevier.com/content/abstract/scopus_id/85073474430,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073474430&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073474430&origin=inward,NCCIH,
N,Atlas,Letter,Pain,The need for diversity in research on facial expressions of pain,Troy C. Dildine;Lauren Y. Atlas,2019-08-01,10.1097/j.pain.0000000000001593,31335658,85070462787,2-s2.0-85070462787,1,https://api.elsevier.com/content/abstract/scopus_id/85070462787,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85070462787&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070462787&origin=inward,,1901-1902
N,Atlas,Review,Muscle and Nerve,ULTRASOUND IN THE DIAGNOSIS AND MONITORING OF AMYOTROPHIC LATERAL SCLEROSIS: A REVIEW,Lisa D. Hobson-Webb;Zachary Simmons,2019-08-01,10.1002/mus.26487,30989697,85065048170,2-s2.0-85065048170,3,https://api.elsevier.com/content/abstract/scopus_id/85065048170,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065048170&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85065048170&origin=inward,CSF,114-123
